/usr/local/lib/python3.10/dist-packages/lerobot/policies/vqbet/vqbet_utils.py:1373: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @autocast(enabled=False)
Loading VQ-BeT from lerobot/vqbet_pusht (manual config patch)...
number of parameters: 26.00M
  Loaded: 37,515,530 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity check action: [0.04 0.81]
  Action range: [0.0, 0.8]
  Actions appear NORMALIZED [-1,1]
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep 73: -- | cov=0.934 | steps=300 | viol=  0 | 1.2s
  Ep 74: OK | cov=0.953 | steps=239 | viol=  0 | 0.9s
  Ep 75: -- | cov=0.943 | steps=300 | viol=  0 | 1.2s
  Ep 76: OK | cov=0.951 | steps=281 | viol=  0 | 1.1s
  Ep 77: -- | cov=0.000 | steps=300 | viol=  0 | 1.2s
  Ep 78: -- | cov=0.936 | steps=300 | viol=  0 | 1.2s
  Ep 79: -- | cov=0.553 | steps=300 | viol=  0 | 1.2s
  Ep 80: -- | cov=0.261 | steps=300 | viol=  0 | 1.2s
  Ep 81: -- | cov=0.126 | steps=300 | viol=  0 | 1.2s
  Ep 82: OK | cov=0.950 | steps=172 | viol=  0 | 0.7s
  Ep 83: OK | cov=0.954 | steps=180 | viol=  0 | 0.7s
  Ep 84: OK | cov=0.959 | steps= 86 | viol=  0 | 0.4s
  Ep 85: OK | cov=0.955 | steps=150 | viol=  0 | 0.6s
  Ep 86: OK | cov=0.951 | steps= 70 | viol=  0 | 0.3s
  Ep 87: -- | cov=0.424 | steps=300 | viol=  0 | 1.2s
  Ep 88: -- | cov=0.659 | steps=300 | viol=  0 | 1.2s
  Ep 89: OK | cov=0.965 | steps=160 | viol=  0 | 0.6s
  Ep 90: -- | cov=0.054 | steps=300 | viol=  0 | 1.2s
  Ep 91: -- | cov=0.943 | steps=300 | viol=  0 | 1.2s
  Ep 92: -- | cov=0.588 | steps=300 | viol=  0 | 1.2s
  Ep 93: -- | cov=0.000 | steps=300 | viol=  0 | 1.1s
  Ep 94: OK | cov=0.959 | steps=229 | viol=  0 | 0.9s
  Ep 95: OK | cov=0.962 | steps=108 | viol=  0 | 0.4s
  Ep 96: OK | cov=0.955 | steps=182 | viol=  0 | 0.7s
  Ep 97: OK | cov=0.974 | steps=164 | viol=  0 | 0.7s
  Ep 98: OK | cov=0.951 | steps=195 | viol=  0 | 0.8s
  Ep 99: -- | cov=0.577 | steps=300 | viol=  0 | 1.2s
  Ep 100: OK | cov=0.951 | steps=254 | viol=  0 | 1.0s
  Ep 101: -- | cov=0.932 | steps=300 | viol=  0 | 1.2s
  Ep 102: OK | cov=0.952 | steps=135 | viol=  0 | 0.5s
  Ep 103: OK | cov=0.952 | steps=252 | viol=  0 | 1.0s
  Ep 104: OK | cov=0.957 | steps=181 | viol=  0 | 0.7s
  Ep 105: OK | cov=0.952 | steps=250 | viol=  0 | 1.0s
  Ep 106: -- | cov=0.025 | steps=300 | viol=  0 | 1.2s
  Ep 107: OK | cov=0.954 | steps=266 | viol=  0 | 1.1s
  Ep 108: -- | cov=0.947 | steps=300 | viol=  0 | 1.2s
  Ep 109: -- | cov=0.077 | steps=300 | viol=  0 | 1.2s
  Ep 110: OK | cov=0.969 | steps=121 | viol=  0 | 0.5s
  Ep 111: -- | cov=0.472 | steps=300 | viol=  0 | 1.2s
  Ep 112: OK | cov=0.967 | steps=271 | viol=  0 | 1.1s
  Ep 113: OK | cov=0.977 | steps=187 | viol=  0 | 0.7s
  Ep 114: OK | cov=0.965 | steps=120 | viol=  0 | 0.5s
  Ep 115: -- | cov=0.000 | steps=300 | viol=  0 | 1.2s
  Ep 116: OK | cov=0.958 | steps=186 | viol=  0 | 0.7s
  Ep 117: OK | cov=0.960 | steps= 91 | viol=  0 | 0.4s
  Ep 118: -- | cov=0.939 | steps=300 | viol=  0 | 1.2s
  Ep 119: OK | cov=0.950 | steps=208 | viol=  0 | 0.8s
  Ep 120: OK | cov=0.954 | steps=116 | viol=  0 | 0.5s
  Ep 121: OK | cov=0.966 | steps=270 | viol=  0 | 1.1s
  Ep 122: OK | cov=0.958 | steps=139 | viol=  0 | 0.6s
  Ep 123: OK | cov=0.960 | steps= 58 | viol=  0 | 0.2s
  Ep 124: OK | cov=0.957 | steps=109 | viol=  0 | 0.4s
  Ep 125: OK | cov=0.955 | steps=142 | viol=  0 | 0.6s
  Ep 126: -- | cov=0.000 | steps=300 | viol=  0 | 1.1s
  Ep 127: OK | cov=0.962 | steps=144 | viol=  0 | 0.6s
  Ep 128: OK | cov=0.954 | steps=219 | viol=  0 | 0.9s
